id,datecreated,datemodified,isactive,name
1,2017-12-04 21:48:56.8+00,2017-12-04 21:48:56.8+00,t,ALL ACCOUNTS
2,2018-02-13 22:19:14.545+00,2018-02-13 22:19:14.545+00,t,BillCPA
3,2018-02-15 17:58:49.728+00,2018-02-15 17:58:49.728+00,t,Betwc
4,2018-02-19 03:18:59.767+00,2018-02-19 03:18:59.767+00,t,WoO
5,2018-02-22 17:13:13.024+00,2018-02-22 17:13:13.024+00,t,Mywager
7,2018-02-22 17:32:21.564+00,2018-02-22 17:32:21.564+00,t,Procap
8,2018-03-04 17:00:25.241+00,2018-03-04 17:00:25.241+00,t,BigManSports
9,2018-04-07 22:41:03.192+00,2018-04-07 22:41:03.192+00,t,DrH
10,2018-04-11 18:33:26.986+00,2018-04-11 18:33:26.986+00,t,ALL ACCOUNTS
11,2018-04-17 00:57:05.137+00,2018-04-17 00:57:05.137+00,t,ALL ACCOUNTS
12,2018-04-25 15:07:47.942+00,2018-04-25 15:07:47.942+00,t,DR H
13,2018-06-14 15:07:50.96+00,2018-06-14 15:07:50.96+00,t,ALL ACCOUNTS
14,2018-06-29 13:37:16.648+00,2018-06-29 13:37:16.648+00,t,ACTIVE ACCOUNTS
15,2018-07-12 04:10:52.583+00,2018-07-12 04:10:52.583+00,t,All
16,2018-08-08 04:41:56.514+00,2018-08-08 04:41:56.514+00,t,e
